title,original_title,year,genre,duration,country,language,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
"Luci della città","City Lights",1931,3,87,1,1,8.5,162668,1500000,19181,46008,99,295,122
"Tempi moderni","Modern Times",1936,3,87,1,1,8.5,211250,1500000,163577,457688,96,307,115
"Il bandito della Casbah","Pépé le Moko",1937,3,94,1,2,7.7,6180,60000,155895,155895,98,46,55
"Biancaneve e i sette nani","Snow White and the Seven Dwarfs",1937,3,83,1,1,7.6,177157,1499000,184925486,184925486,95,260,173
"Via col vento","Gone with the Wind",1939,3,238,1,1,8.1,283975,3977000,200852579,402352579,97,881,197
"Mr. Smith va a Washington","Mr. Smith Goes to Washington",1939,2,129,1,1,8.1,104547,1900000,144738,144738,73,296,88
"Il mago di Oz","The Wizard of Oz",1939,3,102,1,1,8,366293,2777000,24790250,26142032,100,688,168
"Fantasia","Fantasia",1940,3,125,1,1,7.8,86795,2280000,76408097,76411401,96,342,119
"Pinocchio","Pinocchio",1940,3,88,1,1,7.4,127618,2600000,84254167,121892045,99,202,140
"Quarto potere","Citizen Kane",1941,2,119,1,2,8.3,389322,839727,1585634,1594107,100,1452,248
"Casablanca","Casablanca",1942,3,102,1,4,8.5,509953,950000,4108411,4374761,100,1303,196
"Kate & Leopold","Kate & Leopold",2001,3,118,1,2,6.4,77852,48000000,47121859,76019048,44,341,115
"I migliori anni della nostra vita","The Best Years of Our Lives",1946,3,170,1,1,8,56280,2100000,23650000,23656620,93,288,125
"Il tesoro della Sierra Madre","The Treasure of the Sierra Madre",1948,3,126,2,2,8.2,111478,3000000,215295,215295,98,273,98
"Eva contro Eva","All About Eve",1950,1,138,1,2,8.2,117634,1400000,63463,150438,98,373,140
"Cenerentola","Cinderella",1950,3,74,1,1,7.3,142164,2900000,93141149,95126535,85,155,128
"Rashomon","Rashômon",1950,3,88,1,1,8.2,148193,250000,46808,46808,98,348,141
"Un americano a Parigi","An American in Paris",1951,3,114,1,3,7.2,29738,2723903,267824,272619,83,171,101
"Pandora","Pandora and the Flying Dutchman",1951,3,122,1,2,7,3240,1500000,17401,31805,82,50,45
"Cantando sotto la pioggia","Singin' in the Rain",1952,3,103,1,1,8.3,213152,2540800,1826108,1864182,99,671,155
"Da qui all'eternità","From Here to Eternity",1953,3,118,1,1,7.6,42401,1650000,36416,36416,85,184,124
"Il piccolo fuggitivo","Little Fugitive",1953,2,80,1,1,7.5,2414,30000,29505,162373,91,32,41
"Le avventure di Peter Pan","Peter Pan",1953,3,77,1,2,7.3,123085,4000000,87404651,87404651,76,128,135
"L'ammutinamento del Caine","The Caine Mutiny",1954,2,124,1,1,7.7,23931,2000000,21750000,21750000,63,182,47
"Il delitto perfetto","Dial M for Murder",1954,2,105,1,1,8.2,153300,1400000,12562,18816,75,356,107
"Godzilla","Gojira",1954,3,96,1,1,7.6,28109,175000,562711,562711,78,224,134
"La finestra sul cortile","Rear Window",1954,2,112,1,1,8.4,432390,1000000,36764313,37032034,100,855,157
"È nata una stella","A Star Is Born",1954,3,154,1,1,7.6,15391,5019770,4335968,4348890,89,155,85
"Lilli e il vagabondo","Lady and the Tramp",1955,3,76,1,1,7.3,119585,4000000,93602326,93933394,78,147,127
"Gioventù bruciata","Rebel Without a Cause",1955,1,111,1,1,7.7,81625,1500000,199963,199963,89,335,165
"Il gigante","Giant",1956,2,201,1,2,7.6,33284,5400000,32855818,32855818,84,183,115
"Il ponte sul fiume Kwai","The Bridge on the River Kwai",1957,3,161,2,3,8.1,198693,3000000,27200000,27200000,87,330,96
"L'infernale Quinlan","Touch of Evil",1958,3,95,1,2,8,96864,829000,2247465,2286947,99,321,115
"La donna che visse due volte","Vertigo",1958,3,128,1,1,8.3,352786,2479000,7705225,7796389,100,860,182
"Ben-Hur","Ben-Hur",1959,3,212,1,1,8.1,214854,15000000,74422622,74427638,90,445,128
"La bella addormentata nel bosco","Sleeping Beauty",1959,3,75,1,1,7.2,132245,6000000,51600000,51600000,85,193,109
"Le petit soldat","Le petit soldat",1963,2,88,1,1,7.2,6094,180000,24296,24296,97,29,39
"Psyco","Psycho",1960,3,109,1,1,8.5,586765,806947,32000000,32008644,97,1284,236
"Spartacus","Spartacus",1960,3,197,1,1,7.9,121994,12000000,1830650,1844789,87,326,128
"Robinson nell'isola dei corsari","Swiss Family Robinson",1960,2,126,1,1,7.2,13786,5000000,40356000,40356000,61,73,33
"La carica dei 101","One Hundred and One Dalmatians",1961,3,79,1,1,7.2,149029,4000000,144880014,216026182,83,140,100
"La donna è donna","Une femme est une femme",1961,3,85,2,1,7.5,15070,160000,100665,100665,71,44,74
"West Side Story","West Side Story",1961,3,153,1,2,7.5,94819,6000000,44055492,44061777,86,396,137
"Agente 007 - Licenza di uccidere","Dr. No",1962,3,110,1,2,7.2,144418,1100000,16067035,16068461,78,474,138
"La conquista del West","How the West Was Won",1962,1,164,1,2,7.1,18210,15000000,76729,76729,56,175,41
"Lawrence d'Arabia","Lawrence of Arabia",1962,3,228,1,3,8.3,261504,15000000,45306425,45710874,100,676,146
"Va' e uccidi","The Manchurian Candidate",1962,2,126,1,2,7.9,70205,2200000,2757256,2757256,94,341,117
"Il buio oltre la siepe","To Kill a Mockingbird",1962,2,129,1,1,8.2,288787,2000000,592237,599146,88,571,153
"Cleopatra","Cleopatra",1963,3,192,3,1,7,28653,44000000,57777778,57777778,60,227,87
"Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,1,95,2,2,8.4,441115,1800000,9440272,9443876,97,950,237
"A 007, dalla Russia con amore","From Russia with Love",1963,3,115,1,4,7.4,115330,2000000,24796765,24808046,84,427,118
"Questo pazzo, pazzo, pazzo, pazzo mondo","It's a Mad Mad Mad Mad World",1963,3,210,1,1,7.5,37207,9400000,46332858,46332858,59,399,73
"La spada nella roccia","The Sword in the Stone",1963,3,79,1,1,7.2,87317,3000000,12000000,12000000,61,101,70
"Bande à part","Bande à part",1964,3,95,1,2,7.7,22127,120000,66660,106074,88,66,94
"Becket e il suo re","Becket",1964,3,148,2,3,7.8,13368,3000000,149327,149327,68,111,49
"Agente 007 - Missione Goldfinger","Goldfinger",1964,3,110,1,3,7.7,168759,3000000,51081062,51160174,87,489,128
"Tutti per uno","A Hard Day's Night",1964,3,87,1,3,7.6,39382,560000,1480356,2360561,96,247,92
"Mary Poppins","Mary Poppins",1964,3,139,1,1,7.8,154320,6000000,102272727,103082283,88,331,160
"My Fair Lady","My Fair Lady",1964,3,170,1,1,7.8,84812,17000000,72560711,72661442,95,326,94
"Nothing But a Man","Nothing But a Man",1964,2,95,1,1,8,1348,160000,13063,13063,87,34,28
"Per un pugno di dollari","Per un pugno di dollari",1964,3,99,3,2,8,192338,200000,14500000,14516248,65,299,111
"La battaglia di Algeri","La battaglia di Algeri",1966,2,121,2,3,8.1,51195,800000,879794,964028,96,290,151
"Il dottor Zivago","Doctor Zhivago",1965,3,197,2,3,8,68268,11000000,111721910,111918564,69,299,102
"Sierra Charriba","Major Dundee",1965,3,123,1,3,6.7,6919,3800000,20807,20807,62,79,64
"Per qualche dollaro in più","Per qualche dollaro in più",1965,1,132,3,2,8.3,226039,600000,15000000,15000000,74,294,134
